longitude,latitude,depth,vs
-120.2,40.0,41,4.253
-120.2,40.0,42,4.244
-120.2,40.0,43,4.2355
-120.2,40.0,44,4.2269
-120.2,40.0,45,4.2175
-120.2,40.0,46,4.2057
-120.2,40.0,47,4.1944
-120.2,40.0,48,4.1837
-120.2,40.0,49,4.1741
-120.2,40.0,50,4.1665
-120.2,40.0,51,4.1617
-120.2,40.0,52,4.1608
-120.2,40.0,53,4.1622
-120.2,40.0,54,4.1641
-120.2,40.0,55,4.1668
-120.2,40.0,56,4.1704
-120.2,40.0,57,4.1725
-120.2,40.0,58,4.17
-120.2,40.0,59,4.1633
-120.2,40.0,60,4.1526
-120.2,40.0,61,4.1409
-120.2,40.0,62,4.1317
-120.2,40.0,63,4.1247
-120.2,40.0,64,4.1207
-120.2,40.0,65,4.1184
-120.2,40.0,66,4.1154
-120.2,40.0,67,4.1114
-120.2,40.0,68,4.1039
-120.2,40.0,69,4.0908
-120.2,40.0,70,4.0704
-120.2,40.0,71,4.0428
-120.2,40.0,72,4.01
-120.2,40.0,73,3.9768
-120.2,40.0,74,3.9438
-120.2,40.0,75,3.9118
-120.2,40.0,76,3.8834
-120.2,40.0,77,3.8631
-120.2,40.0,78,3.8517
-120.2,40.0,79,3.8472
-120.2,40.0,80,3.849
-120.2,40.2,41,4.258
-120.2,40.2,42,4.2472
-120.2,40.2,43,4.2277
-120.2,40.2,44,4.2007
-120.2,40.2,45,4.1671
-120.2,40.2,46,4.1286
-120.2,40.2,47,4.088
-120.2,40.2,48,4.0521
-120.2,40.2,49,4.027
-120.2,40.2,50,4.015
-120.2,40.2,51,4.0187
-120.2,40.2,52,4.0362
-120.2,40.2,53,4.0664
-120.2,40.2,54,4.1034
-120.2,40.2,55,4.1413
-120.2,40.2,56,4.177
-120.2,40.2,57,4.2071
-120.2,40.2,58,4.2281
-120.2,40.2,59,4.2381
-120.2,40.2,60,4.237
-120.2,40.2,61,4.2256
-120.2,40.2,62,4.2107
-120.2,40.2,63,4.1968
-120.2,40.2,64,4.1865
-120.2,40.2,65,4.1773
-120.2,40.2,66,4.1671
-120.2,40.2,67,4.1563
-120.2,40.2,68,4.1429
-120.2,40.2,69,4.1261
-120.2,40.2,70,4.1041
-120.2,40.2,71,4.0773
-120.2,40.2,72,4.046
-120.2,40.2,73,4.0143
-120.2,40.2,74,3.9839
-120.2,40.2,75,3.9564
-120.2,40.2,76,3.9336
-120.2,40.2,77,3.9161
-120.2,40.2,78,3.9043
-120.2,40.2,79,3.8981
-120.2,40.2,80,3.8959
-120.2,40.4,41,4.2636
-120.2,40.4,42,4.2168
-120.2,40.4,43,4.1676
