longitude,latitude,depth,vs
-120.2,40.0,-2,3.113
-120.2,40.0,-1,3.1429
-120.2,40.0,0,3.2048
-120.2,40.0,1,3.2725
-120.2,40.0,2,3.3207
-120.2,40.0,3,3.3653
-120.2,40.0,4,3.3904
-120.2,40.0,5,3.346
-120.2,40.0,6,3.3348
-120.2,40.0,7,3.4069
-120.2,40.0,8,3.4679
-120.2,40.0,9,3.4694
-120.2,40.0,10,3.4449
-120.2,40.0,11,3.4411
-120.2,40.0,12,3.4347
-120.2,40.0,13,3.4531
-120.2,40.0,14,3.4693
-120.2,40.0,15,3.4558
-120.2,40.0,16,3.4484
-120.2,40.0,17,3.44
-120.2,40.0,18,3.4166
-120.2,40.0,19,3.4038
-120.2,40.0,20,3.4102
-120.2,40.0,21,3.4179
-120.2,40.0,22,3.4235
-120.2,40.0,23,3.4315
-120.2,40.0,24,3.4447
-120.2,40.0,25,3.4658
-120.2,40.0,26,3.5001
-120.2,40.0,27,3.5519
-120.2,40.0,28,3.6229
-120.2,40.0,29,3.7096
-120.2,40.0,30,3.8062
-120.2,40.0,31,3.9073
-120.2,40.0,32,4.0039
-120.2,40.0,33,4.0895
-120.2,40.0,34,4.16
-120.2,40.0,35,4.212
-120.2,40.0,36,4.2456
-120.2,40.0,37,4.2637
-120.2,40.0,38,4.2698
-120.2,40.0,39,4.2677
-120.2,40.0,40,4.2614
-120.2,40.2,-1,3.0457
-120.2,40.2,0,3.0881
-120.2,40.2,1,3.1773
-120.2,40.2,2,3.2689
-120.2,40.2,3,3.3409
-120.2,40.2,4,3.3904
-120.2,40.2,5,3.4044
-120.2,40.2,6,3.3839
-120.2,40.2,7,3.4022
-120.2,40.2,8,3.4582
-120.2,40.2,9,3.5064
-120.2,40.2,10,3.4896
-120.2,40.2,11,3.4371
-120.2,40.2,12,3.4058
-120.2,40.2,13,3.4001
-120.2,40.2,14,3.4449
-120.2,40.2,15,3.4638
-120.2,40.2,16,3.444
-120.2,40.2,17,3.4263
-120.2,40.2,18,3.4085
-120.2,40.2,19,3.3904
-120.2,40.2,20,3.3953
-120.2,40.2,21,3.4132
-120.2,40.2,22,3.432
-120.2,40.2,23,3.4536
-120.2,40.2,24,3.4818
-120.2,40.2,25,3.5189
-120.2,40.2,26,3.5649
-120.2,40.2,27,3.6216
-120.2,40.2,28,3.6893
-120.2,40.2,29,3.7665
-120.2,40.2,30,3.8481
-120.2,40.2,31,3.9289
-120.2,40.2,32,4.0045
-120.2,40.2,33,4.0707
-120.2,40.2,34,4.1263
-120.2,40.2,35,4.1704
-120.2,40.2,36,4.2047
